HSHD_NUM,HH_KEY,ACCOUNT_KEY,HEAD_OF_HH,CITY,STATE,ZIP_CODE,AGE_RANGE
1271,74330615,159303131,N,HENDERSONVILLE,TN,37075,35-44
672,74067532,159303151,N,LOUISVILLE,KY,40245,45-54
1459,70191909,159322715,N,HAMILTON,OH,45013,NOT AVAILABLE
2843,6303222,159322757,N,CINCINNATI,OH,45227,35-44
4616,567098,159322804,N,MIDDLETOWN,OH,45042,55-64
2835,8439169,159322828,N,MASON,OH,45040,55-64
1640,10062567,159322839,N,OXFORD,OH,45056,35-44
407,80339040,159322919,N,CINCINNATI,OH,45206,55-64
4105,1512621,159323076,N,LOUISVILLE,KY,40219,55-64
662,80248187,159324056,N,COLUMBUS,OH,43214,45-54
1251,77006054,159324211,N,MONROE,MI,48161,45-54
1629,75627522,159324827,N,ATLANTA,GA,30344,45-54
3553,73592380,159325037,N,NEWPORT,KY,41071,65-74
673,74070410,159325144,N,WARREN,MI,48092,45-54
3142,1870277,159325611,N,INDIANAPOLIS,IN,46227,NOT AVAILABLE
3594,1298438,159325902,N,KETTERING,OH,45419,75+
1949,16181750,159348648,N,NEW RICHMOND,OH,45157,45-54
4087,802207,159348837,N,FAIRFIELD,OH,45014,45-54
2928,3070591,159348613,N,CINCINNATI,OH,45211,55-64
701,111362,159349247,N,PEWEE VALLEY,KY,40056,45-54
3813,75264236,159354294,N,HIGHLAND,MI,48357,35-44
1585,79828305,159351681,N,TOLEDO,OH,43612,35-44
69,80243789,159351436,N,COLUMBUS,OH,43227,45-54
1252,13382645,159351548,N,DELAWARE,OH,43015,45-54
3207,78384130,159352683,N,COLUMBUS,OH,43223,45-54
54,9469733,159352120,N,NASHVILLE,TN,37210,35-44
948,13725612,159353387,N,LAWRENCEVILLE,GA,30043,45-54
4592,15346880,159354125,N,SHELBY TOWNSHIP,MI,48315,45-54
1671,18846649,159355527,N,INDIANAPOLIS,IN,46219,NOT AVAILABLE
795,74882120,159355062,N,HILLSBORO,OH,45133,55-64
921,13845838,159347422,N,MILFORD,OH,45150,65-74
1501,80297041,159347435,N,BRENTWOOD,TN,37027,45-54
4837,16781739,159347965,N,PEACHTREE CITY,GA,30269,NOT AVAILABLE
2211,1606448,159347588,N,SUNBURY,OH,43074,45-54
3331,74995215,159348069,N,WEST CHESTER,OH,45069.0,35-44
1781,5649777,159461715,N,REYNOLDSBURG,OH,43068.0,55-64
2353,18609706,159461734,N,COLUMBUS,OH,43211,35-44
3247,78412470,159462111,N,NASHVILLE,TN,37217,45-54
